parameter,n_estimators,max_depth,num_splits_used
nest5_depth1,5,1,2
nest5_depth2,5,2,2
nest5_depth3,5,3,22
nest10_depth1,10,1,2
nest10_depth2,10,2,16
nest10_depth3,10,3,29
nest15_depth1,15,1,4
nest15_depth2,15,2,16
nest15_depth3,15,3,30
nest20_depth1,20,1,4
nest20_depth2,20,2,16
nest20_depth3,20,3,27
nest25_depth1,25,1,5
nest25_depth2,25,2,16
nest25_depth3,25,3,30
nest30_depth1,30,1,5
nest30_depth2,30,2,16
nest30_depth3,30,3,35
nest35_depth1,35,1,5
nest35_depth2,35,2,16
nest35_depth3,35,3,33
nest40_depth1,40,1,3
nest40_depth2,40,2,11
nest40_depth3,40,3,21
nest100_depth1,100,1,3
nest100_depth2,100,2,12
nest100_depth3,100,3,23
nest200_depth1,200,1,3
nest200_depth2,200,2,12
nest200_depth3,200,3,21
